Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2018,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Electronic transactions,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Electronic transactions,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Electronic transactions,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Electronic transactions,Index: 1 = maximum restriction,0.02
2014,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Electronic transactions,Index: 1 = maximum restriction,0.02
2020,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Electronic transactions,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Electronic transactions,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2023,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2022,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2021,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2018,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2017,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2019,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Payment system,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Payment system,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Payment system,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Payment system,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Payment system,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Payment system,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Payment system,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Payment system,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Payment system,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Payment system,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Intellectual property rights,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Intellectual property rights,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Intellectual property rights,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Intellectual property rights,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Intellectual property rights,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Intellectual property rights,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Intellectual property rights,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Intellectual property rights,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Intellectual property rights,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Intellectual property rights,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,SVN,Slovenia,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Infrastructure and connectivity,Index: 1 = maximum restriction,0.16
2023,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Infrastructure and connectivity,Index: 1 = maximum restriction,0.16
2022,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Infrastructure and connectivity,Index: 1 = maximum restriction,0.16
2021,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Infrastructure and connectivity,Index: 1 = maximum restriction,0.16
2018,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Infrastructure and connectivity,Index: 1 = maximum restriction,0.16
2017,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Infrastructure and connectivity,Index: 1 = maximum restriction,0.16
2016,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Infrastructure and connectivity,Index: 1 = maximum restriction,0.16
2015,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Infrastructure and connectivity,Index: 1 = maximum restriction,0.16
2014,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Infrastructure and connectivity,Index: 1 = maximum restriction,0.16
2020,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Infrastructure and connectivity,Index: 1 = maximum restriction,0.16
2019,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Infrastructure and connectivity,Index: 1 = maximum restriction,0.16
2024,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Indicator DSTRI,Index: 1 = maximum restriction,0.18
2023,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Indicator DSTRI,Index: 1 = maximum restriction,0.18
2022,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Indicator DSTRI,Index: 1 = maximum restriction,0.18
2021,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Indicator DSTRI,Index: 1 = maximum restriction,0.18
2018,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Indicator DSTRI,Index: 1 = maximum restriction,0.18
2017,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2016,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2015,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2014,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2020,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Indicator DSTRI,Index: 1 = maximum restriction,0.18
2019,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Indicator DSTRI,Index: 1 = maximum restriction,0.18
2024,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Electronic transactions,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Electronic transactions,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Electronic transactions,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Electronic transactions,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Electronic transactions,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Electronic transactions,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Electronic transactions,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Electronic transactions,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Electronic transactions,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Electronic transactions,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Electronic transactions,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2023,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2022,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2021,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2018,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2017,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2019,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Payment system,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Payment system,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Payment system,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Payment system,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Payment system,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Payment system,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Payment system,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Payment system,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Payment system,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Payment system,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Intellectual property rights,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Intellectual property rights,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Intellectual property rights,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Intellectual property rights,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Intellectual property rights,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Intellectual property rights,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Intellectual property rights,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Intellectual property rights,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Intellectual property rights,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Intellectual property rights,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,ESP,Spain,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2023,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2022,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2021,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2018,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2017,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2016,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2015,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2014,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2020,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2019,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2023,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2022,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2021,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2018,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2017,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Indicator DSTRI,Index: 1 = maximum restriction,0.08
2016,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Indicator DSTRI,Index: 1 = maximum restriction,0.08
2015,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Indicator DSTRI,Index: 1 = maximum restriction,0.08
2014,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Indicator DSTRI,Index: 1 = maximum restriction,0.08
2020,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2019,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2024,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Electronic transactions,Index: 1 = maximum restriction,0.04
2023,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Electronic transactions,Index: 1 = maximum restriction,0.04
2022,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Electronic transactions,Index: 1 = maximum restriction,0.04
2021,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Electronic transactions,Index: 1 = maximum restriction,0.04
2018,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Electronic transactions,Index: 1 = maximum restriction,0.04
2017,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Electronic transactions,Index: 1 = maximum restriction,0.04
2016,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Electronic transactions,Index: 1 = maximum restriction,0.04
2015,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Electronic transactions,Index: 1 = maximum restriction,0.04
2014,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Electronic transactions,Index: 1 = maximum restriction,0.04
2020,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Electronic transactions,Index: 1 = maximum restriction,0.04
2019,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Electronic transactions,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2023,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2022,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2021,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2018,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2017,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2019,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Payment system,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Payment system,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Payment system,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Payment system,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Payment system,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Payment system,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Payment system,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Payment system,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Payment system,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Payment system,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Intellectual property rights,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Intellectual property rights,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Intellectual property rights,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Intellectual property rights,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Intellectual property rights,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Intellectual property rights,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Intellectual property rights,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Intellectual property rights,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Intellectual property rights,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Intellectual property rights,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,SWE,Sweden,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2023,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2022,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2021,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2018,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2017,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2016,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2015,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2014,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2020,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2019,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Electronic transactions,Index: 1 = maximum restriction,0.02
2023,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Electronic transactions,Index: 1 = maximum restriction,0.02
2022,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Electronic transactions,Index: 1 = maximum restriction,0.02
2021,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Electronic transactions,Index: 1 = maximum restriction,0.02
2018,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Electronic transactions,Index: 1 = maximum restriction,0.02
2017,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Electronic transactions,Index: 1 = maximum restriction,0.02
2016,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Electronic transactions,Index: 1 = maximum restriction,0.02
2015,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Electronic transactions,Index: 1 = maximum restriction,0.02
2014,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Electronic transactions,Index: 1 = maximum restriction,0.02
2020,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Electronic transactions,Index: 1 = maximum restriction,0.02
2019,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Electronic transactions,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Payment system,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Payment system,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Payment system,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Payment system,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Payment system,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Payment system,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Payment system,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Payment system,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Payment system,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Payment system,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Intellectual property rights,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Intellectual property rights,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,CHE,Switzerland,Intellectual property rights,Index: 1 = maximum restriction,0
